add_dens_source,C2,C3,C4,C5,C6,C7,C8,C9
0.00195802,0.181776,0.0969783,0.0403446,0.000612475,-0.0888816,0.0888673,-1.4358e-05,0.00821205
0.00196217,0.279393,0.106078,0.0396233,0.000617789,-0.0862683,0.0862537,-1.4586e-05,0.00747921
0.0224707,0.261411,0.112434,0.0712818,0.00617724,-0.105344,0.105327,-1.7952e-05,0.0257279
0.00205174,0.22345,0.0955801,0.0248148,0.000631991,-0.0907197,0.0907072,-1.2484e-05,0.00666369
0.00193559,0.203053,0.0909905,0.0243037,0.000637736,-0.090807,0.0907952,-1.1793e-05,0.00799189
0.00195713,0.201361,0.0863323,0.02299,0.000624515,-0.0863986,0.0863834,-1.525e-05,0.0070551
0.0199996,0.216722,0.0907952,0.0372037,0.000638008,-0.0910668,0.0910518,-1.5024e-05,0.00670003
0.00211554,0.199789,0.0907351,0.0235069,0.000625836,-0.0913113,0.0912945,-1.6842e-05,0.0115046
0.00192698,0.198994,0.103426,0.0694638,0.00702681,-0.112486,0.112468,-1.8008e-05,0.0236657
0.0162734,0.254624,0.120961,0.0656739,0.000653927,-0.0986282,0.098612,-1.6283e-05,0.00695664
0.00200687,0.20435,0.0906592,0.0228342,0.000633186,-0.111196,0.11118,-1.5538e-05,0.00665064
0.00196013,0.200105,0.0907183,0.0223942,0.000629871,-0.0915078,0.0914926,-1.5146e-05,0.0193219
0.00218982,0.200462,0.0917043,0.0232338,0.0006888,-0.0897955,0.0897804,-1.5159e-05,0.00623696
0.00193367,0.216808,0.0916304,0.0220316,0.000639189,-0.0875954,0.0875804,-1.5024e-05,0.00632376
0.00192469,0.193778,0.0887412,0.0224953,0.000663221,-0.0864735,0.086461,-1.2488e-05,0.00799606
0.0310006,0.253179,0.100683,0.0634056,0.00716707,-0.102635,0.102618,-1.7527e-05,0.0141869
0.0230914,0.283205,0.117349,0.0577073,0.00250643,-0.11009,0.110077,-1.291e-05,0.0242817
0.0105295,0.251815,0.110999,0.0749049,0.000643624,-0.116801,0.116783,-1.7988e-05,0.00965605
0.0170027,0.246516,0.108062,0.0641543,0.00220926,-0.103823,0.103807,-1.5939e-05,0.0125506
0.046914,0.276785,0.121477,0.0689986,0.00394219,-0.121113,0.121099,-1.3936e-05,0.0377193
0.0107935,0.260817,0.127997,0.0992451,0.0053864,-0.150835,0.150818,-1.727e-05,0.0171503
0.00240125,0.223548,0.100165,0.0232571,0.000659937,-0.0935428,0.0935269,-1.5815e-05,0.00717413
0.00196741,0.189157,0.0906472,0.0208359,0.000632754,-0.0868385,0.0868257,-1.286e-05,0.00666449
0.00192289,0.188789,0.0887948,0.0205602,0.000622526,-0.086834,0.0868191,-1.4878e-05,0.00670803
0.00195662,0.198475,0.0927445,0.0209026,0.000639097,-0.0914836,0.0914711,-1.2529e-05,0.00709998
0.00221219,0.218575,0.0917329,0.0193222,0.000612531,-0.106471,0.106456,-1.5644e-05,0.0379739
0.0140642,0.222824,0.124989,0.048645,0.00399909,-0.116754,0.116736,-1.7663e-05,0.0221215
0.00210323,0.196317,0.0924866,0.0205339,0.00063597,-0.0921255,0.0921108,-1.4665e-05,0.00720596
0.00203592,0.20761,0.0908211,0.020247,0.000634469,-0.0910384,0.0910216,-1.6776e-05,0.00692691
0.00198107,0.183893,0.0863842,0.0185304,0.00062719,-0.0870388,0.0870234,-1.5413e-05,0.0069317
0.00195429,0.183824,0.0860571,0.0185757,0.000624246,-0.0870351,0.0870203,-1.4834e-05,0.0069067
0.00192501,0.183993,0.0874636,0.0192962,0.000632511,-0.087378,0.0873633,-1.4754e-05,0.00713074
0.00253702,0.182329,0.0861308,0.0181636,0.00714538,-0.100852,0.100839,-1.3023e-05,0.0199831
0.0124086,0.218321,0.116981,0.0464385,0.00578129,-0.116917,0.116901,-1.5371e-05,0.0289901
0.00193684,0.192254,0.0912424,0.0187308,0.000627566,-0.0912366,0.0912207,-1.5839e-05,0.00726514
0.00192195,0.188406,0.0889151,0.0435482,0.00187114,-0.0925863,0.0925712,-1.5071e-05,0.00744086
0.00193992,0.183322,0.0885414,0.0178767,0.000776629,-0.0887216,0.088707,-1.4563e-05,0.00779589
0.00195272,0.182693,0.0982481,0.0178745,0.000638321,-0.0905545,0.0905413,-1.3161e-05,0.00715833
0.00194649,0.213397,0.0948881,0.0185534,0.000697624,-0.0880008,0.0879863,-1.449e-05,0.00726015
0.00214634,0.200242,0.0989984,0.0530537,0.00392271,-0.108476,0.108461,-1.4654e-05,0.0201154
0.00472607,0.230916,0.12001,0.0196635,0.000643901,-0.097405,0.0973879,-1.7098e-05,0.00795806
0.00195904,0.182192,0.0923908,0.0181108,0.00063265,-0.0897485,0.0897354,-1.3029e-05,0.00715878
0.00199273,0.17935,0.0943067,0.017615,0.00479267,-0.109323,0.109309,-1.4584e-05,0.0199845
0.0020245,0.198522,0.0963699,0.019942,0.000648443,-0.0923427,0.0923306,-1.2131e-05,0.0078057
0.00193079,0.183435,0.0914281,0.0179209,0.000636288,-0.0881337,0.0881191,-1.4614e-05,0.00776372
0.00223075,0.182154,0.0905966,0.0188663,0.000617672,-0.0895709,0.0895561,-1.4825e-05,0.00728859
0.0147251,0.207625,0.104301,0.0481989,0.00226775,-0.124484,0.124468,-1.5327e-05,0.0228588
0.0189393,0.232997,0.0971283,0.0194172,0.0006769,-0.0925737,0.0925631,-1.0601e-05,0.00765818
0.00208732,0.183101,0.0907274,0.0173804,0.000630476,-0.0878844,0.0878711,-1.3367e-05,0.00734769
0.0019252,0.183244,0.087248,0.0173304,0.000635104,-0.0876271,0.0876115,-1.5622e-05,0.00735369
0.00458199,0.182609,0.0911073,0.0205548,0.000625981,-0.0876595,0.087645,-1.4434e-05,0.00758128
0.00193088,0.182707,0.0889329,0.0184382,0.000634443,-0.0876428,0.0876306,-1.2276e-05,0.00735749
0.00219937,0.181151,0.0881706,0.017498,0.000631638,-0.0877879,0.0877752,-1.2643e-05,0.00767928
0.0207241,0.216905,0.100777,0.0600962,0.00830742,-0.101837,0.101817,-2.0642e-05,0.0211576
0.00213156,0.20407,0.0955614,0.0196629,0.000630214,-0.103561,0.103546,-1.5027e-05,0.0200875
0.0238643,0.227641,0.0988105,0.0195724,0.00063341,-0.0940955,0.0940804,-1.5047e-05,0.007991
0.00198034,0.191313,0.090711,0.0239921,0.000643391,-0.0911076,0.091092,-1.5631e-05,0.00759206
0.0019639,0.205237,0.090739,0.0182027,0.000685436,-0.0886696,0.0886572,-1.237e-05,0.00758873
0.00193341,0.180943,0.0862975,0.0173886,0.000613947,-0.0881895,0.0881727,-1.6738e-05,0.00760636
0.00525332,0.182456,0.0907408,0.0174962,0.00396198,-0.0970366,0.097015,-2.1602e-05,0.0151825
0.0332899,0.226511,0.103735,0.0572677,0.00315559,-0.104793,0.104773,-1.9762e-05,0.0159374
0.0020665,0.18452,0.090836,0.027856,0.000612884,-0.0964954,0.0964774,-1.7989e-05,0.00814214
0.00207094,0.183234,0.0892886,0.0174042,0.000629593,-0.0903572,0.0903425,-1.469e-05,0.00824598
0.00220839,0.180824,0.0861328,0.0173217,0.000614549,-0.0888516,0.0888352,-1.6428e-05,0.0115979
0.00201953,0.181583,0.0915927,0.0181259,0.00757092,-0.0934882,0.0934725,-1.575e-05,0.0221244
